Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
185.000000	0.137908  	185.000000	0.103401  	185.000000	0.103812  	185.000000	0.103271  	185.000000	0.103814  	185.000000	0.103369  	185.000000	3.17644e-05	
190.000000	0.135585  	190.000000	0.101721  	190.000000	0.102099  	190.000000	0.10156   	190.000000	0.102101  	190.000000	0.10169   	190.000000	3.10036e-05	
195.000000	0.133373  	195.000000	0.100123  	195.000000	0.100469  	195.000000	0.0999325 	195.000000	0.100471  	195.000000	0.100092  	195.000000	3.028e-05 	
200.000000	0.131266  	200.000000	0.0986014 	200.000000	0.0989167 	200.000000	0.0983821 	200.000000	0.0989176 	200.000000	0.0985718 	200.000000	2.95908e-05	
210.000000	0.127336  	210.000000	0.0957671 	210.000000	0.0960232 	210.000000	0.0954926 	210.000000	0.0960232 	210.000000	0.0957388 	210.000000	2.8306e-05	
220.000000	0.123744  	220.000000	0.0931805 	220.000000	0.093381  	220.000000	0.0928544 	220.000000	0.0933797 	220.000000	0.0931533 	220.000000	2.71326e-05	
230.000000	0.120448  	230.000000	0.0908105 	230.000000	0.0909593 	230.000000	0.0904363 	230.000000	0.0909568 	230.000000	0.0907844 	230.000000	2.60564e-05	
240.000000	0.117413  	240.000000	0.0886311 	240.000000	0.0887311 	240.000000	0.0882123 	240.000000	0.0887278 	240.000000	0.088606  	240.000000	2.50656e-05	
250.000000	0.114608  	250.000000	0.0866204 	250.000000	0.0866771 	250.000000	0.0861601 	250.000000	0.086671  	250.000000	0.0865962 	250.000000	2.41504e-05	
260.000000	0.112009  	260.000000	0.0847596 	260.000000	0.084769  	260.000000	0.0842608 	260.000000	0.0847672 	260.000000	0.0847363 	260.000000	2.33023e-05	
270.000000	0.109593  	270.000000	0.0830328 	270.000000	0.0829944 	270.000000	0.0824983 	270.000000	0.0830004 	270.000000	0.0830103 	270.000000	2.25141e-05	
280.000000	0.107342  	280.000000	0.0814261 	280.000000	0.0813526 	280.000000	0.0808586 	280.000000	0.0813563 	280.000000	0.0814044 	280.000000	2.17795e-05	
290.000000	0.10524   	290.000000	0.0799276 	290.000000	0.0798211 	290.000000	0.0793295 	290.000000	0.0798234 	290.000000	0.0799065 	290.000000	2.10933e-05	
300.000000	0.103271  	300.000000	0.0785269 	300.000000	0.078389  	300.000000	0.0779005 	300.000000	0.0783902 	300.000000	0.0785064 	300.000000	2.04507e-05	
310.000000	0.101425  	310.000000	0.0772148 	310.000000	0.0770484 	310.000000	0.0765622 	310.000000	0.0770483 	310.000000	0.0771949 	310.000000	1.98476e-05	
320.000000	0.0996896 	320.000000	0.0759833 	320.000000	0.0757903 	320.000000	0.0753066 	320.000000	0.075789  	320.000000	0.075964  	320.000000	1.92804e-05	
330.000000	0.0980555 	330.000000	0.0748254 	330.000000	0.0746074 	330.000000	0.0741264 	330.000000	0.0746053 	330.000000	0.0748067 	330.000000	1.87461e-05	
340.000000	0.0965143 	340.000000	0.0737348 	340.000000	0.0734943 	340.000000	0.0730152 	340.000000	0.0734909 	340.000000	0.0737166 	340.000000	1.82418e-05	
350.000000	0.0950584 	350.000000	0.072706  	350.000000	0.0724452 	350.000000	0.0719674 	350.000000	0.0724397 	350.000000	0.0726883 	350.000000	1.77649e-05	
360.000000	0.0936809 	360.000000	0.071734  	360.000000	0.0714501 	360.000000	0.0709779 	360.000000	0.071447  	360.000000	0.0717167 	360.000000	1.73133e-05	
370.000000	0.0923759 	370.000000	0.0708143 	370.000000	0.0705059 	370.000000	0.0700421 	370.000000	0.0705083 	370.000000	0.0707974 	370.000000	1.6885e-05	
380.000000	0.0911379 	380.000000	0.0699429 	380.000000	0.0696155 	380.000000	0.0691559 	380.000000	0.0696191 	380.000000	0.0699265 	380.000000	1.64782e-05	
390.000000	0.089962  	390.000000	0.0691164 	390.000000	0.0687744 	390.000000	0.0683156 	390.000000	0.068776  	390.000000	0.0691003 	390.000000	1.60914e-05	
400.000000	0.0888437 	400.000000	0.0683313 	400.000000	0.0679754 	400.000000	0.067518  	400.000000	0.0679758 	400.000000	0.0683156 	400.000000	1.5723e-05	
410.000000	0.087779  	410.000000	0.0675848 	410.000000	0.0672154 	410.000000	0.06676   	410.000000	0.0672151 	410.000000	0.0675695 	410.000000	1.53717e-05	
420.000000	0.0867644 	420.000000	0.0668743 	420.000000	0.0664923 	420.000000	0.0660388 	420.000000	0.0664914 	420.000000	0.0668592 	420.000000	1.50365e-05	
430.000000	0.0857964 	430.000000	0.0661972 	430.000000	0.0658041 	430.000000	0.065352  	430.000000	0.0658022 	430.000000	0.0661825 	430.000000	1.47161e-05	
440.000000	0.084872  	440.000000	0.0655515 	440.000000	0.0651487 	440.000000	0.0646973 	440.000000	0.0651452 	440.000000	0.0655371 	440.000000	1.44096e-05	
