Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
150.000000	0.160291  	150.000000	0.165566  	150.000000	0.165006  	150.000000	0.164369  	150.000000	0.16501   	150.000000	0.165509  	150.000000	5.6789e-05	
155.000000	0.154789  	155.000000	0.161926  	155.000000	0.161367  	155.000000	0.160732  	155.000000	0.161371  	155.000000	0.161871  	155.000000	5.51058e-05	
160.000000	0.151563  	160.000000	0.158504  	160.000000	0.157945  	160.000000	0.157313  	160.000000	0.157949  	160.000000	0.158451  	160.000000	5.35232e-05	
165.000000	0.148522  	165.000000	0.155281  	165.000000	0.154721  	165.000000	0.154091  	165.000000	0.154725  	165.000000	0.155229  	165.000000	5.20324e-05	
170.000000	0.145649  	170.000000	0.15224   	170.000000	0.151679  	170.000000	0.151051  	170.000000	0.151682  	170.000000	0.152189  	170.000000	5.06255e-05	
175.000000	0.14293   	175.000000	0.149365  	175.000000	0.148802  	175.000000	0.148178  	175.000000	0.148806  	175.000000	0.149316  	175.000000	4.92955e-05	
180.000000	0.140354  	180.000000	0.146644  	180.000000	0.14608   	180.000000	0.145457  	180.000000	0.146083  	180.000000	0.146596  	180.000000	4.80362e-05	
185.000000	0.137908  	185.000000	0.144065  	185.000000	0.143498  	185.000000	0.142878  	185.000000	0.143501  	185.000000	0.144018  	185.000000	4.6842e-05	
190.000000	0.135585  	190.000000	0.141616  	190.000000	0.141047  	190.000000	0.14043   	190.000000	0.14105   	190.000000	0.14157   	190.000000	4.5708e-05	
195.000000	0.133373  	195.000000	0.139288  	195.000000	0.138718  	195.000000	0.138103  	195.000000	0.138719  	195.000000	0.139243  	195.000000	4.46296e-05	
200.000000	0.131266  	200.000000	0.137072  	200.000000	0.1365    	200.000000	0.135888  	200.000000	0.136501  	200.000000	0.137029  	200.000000	4.36029e-05	
210.000000	0.127336  	210.000000	0.132947  	210.000000	0.132372  	210.000000	0.131764  	210.000000	0.132372  	210.000000	0.132905  	210.000000	4.16899e-05	
220.000000	0.123744  	220.000000	0.129184  	220.000000	0.128607  	220.000000	0.128004  	220.000000	0.128606  	220.000000	0.129144  	220.000000	3.99435e-05	
