Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
135.000000	0.172815  	135.000000	0.17172   	135.000000	0.169586  	135.000000	0.168943  	135.000000	0.169587  	135.000000	0.171658  	135.000000	6.11657e-05	
140.000000	0.168365  	140.000000	0.167468  	140.000000	0.165381  	140.000000	0.164739  	140.000000	0.165383  	140.000000	0.167409  	140.000000	5.91632e-05	
145.000000	0.164199  	145.000000	0.163496  	145.000000	0.16145   	145.000000	0.160811  	145.000000	0.161452  	145.000000	0.163439  	145.000000	5.72926e-05	
150.000000	0.160291  	150.000000	0.159777  	150.000000	0.157767  	150.000000	0.157131  	150.000000	0.157771  	150.000000	0.159721  	150.000000	5.55412e-05	
155.000000	0.154789  	155.000000	0.156287  	155.000000	0.15431   	155.000000	0.153676  	155.000000	0.154314  	155.000000	0.156233  	155.000000	5.38978e-05	
160.000000	0.151563  	160.000000	0.153005  	160.000000	0.151059  	160.000000	0.150427  	160.000000	0.151063  	160.000000	0.152953  	160.000000	5.23525e-05	
165.000000	0.148522  	165.000000	0.149914  	165.000000	0.147995  	165.000000	0.147366  	165.000000	0.147999  	165.000000	0.149863  	165.000000	5.08967e-05	
170.000000	0.145649  	170.000000	0.146996  	170.000000	0.145103  	170.000000	0.144477  	170.000000	0.145106  	170.000000	0.146947  	170.000000	4.95228e-05	
175.000000	0.14293   	175.000000	0.144239  	175.000000	0.142369  	175.000000	0.141745  	175.000000	0.142372  	175.000000	0.144191  	175.000000	4.82239e-05	
180.000000	0.140354  	180.000000	0.141629  	180.000000	0.13978   	180.000000	0.139158  	180.000000	0.139783  	180.000000	0.141582  	180.000000	4.6994e-05	
185.000000	0.137908  	185.000000	0.139154  	185.000000	0.137325  	185.000000	0.136706  	185.000000	0.137327  	185.000000	0.139108  	185.000000	4.58276e-05	
